Heigh,Width,Year_w,currentBid,itemId,lotNumber,presaleEstimateHigh,presaleEstimateLow,priceRealised,startingBid,durationDays,saleUnif,isTitled,oil,ink,color,gouache,pastel,silver gelatin,chromogenic,charcoal,pigment,etching,leaf,leaves,Opaque pigments,pencil,acrylic,watercolor,pen,marble dust,scroll,engraving,mezzotint,aquatint,digital,casein,handmade paper,cardboard,lithograph,silkscreen,canvas,silk,print,prints,board,wove paper,masonite,paperboard,isSet,age,area,Style_American,Style_Asia,Style_China,Style_India,Style_Latin America,Style_Masters,Style_Nature,saleCurrency_GBP,saleCurrency_HKD,saleCurrency_USD,Year_s_2017,Year_s_2018,Year_s_2019,SP,Dow,t-bill,NASDAQ
83.8,109.2,2003.0,20000.0,41241,1,4000.0,3000.0,25000.0,3000.0,7,45632.95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,14,9150.96,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
37.4,48.3,1990.0,4800.0,41243,3,5000.0,3000.0,6000.0,3000.0,7,45632.95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27,1806.42,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
42.0,35.3,1997.0,2000.0,41244,4,3000.0,2000.0,2500.0,2000.0,7,45632.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,20,1482.6,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
61.3,38.1,2004.0,6000.0,41245,5,7000.0,5000.0,7500.0,5000.0,7,45632.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13,2335.53,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
30.9,43.2,1955.0,3000.0,41247,7,3000.0,2000.0,3750.0,2000.0,7,45632.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62,1334.88,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
28.5,14.4,2015.0,7000.0,41248,8,5000.0,3500.0,8750.0,3500.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,410.4,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
39.5,48.0,1990.0,7000.0,41253,13,6000.0,4000.0,8750.0,4000.0,7,45632.95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27,1896.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
32.6,47.6,1990.0,8000.0,41255,15,4500.0,3500.0,10000.0,3500.0,7,45632.95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27,1551.7600000000002,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
44.5,66.0,1960.0,8000.0,41258,18,12000.0,8000.0,10000.0,8000.0,7,45632.95,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,2937.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
42.5,31.5,1974.0,2400.0,41260,20,3500.0,2500.0,3000.0,2400.0,7,45632.95,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43,1338.75,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
